filename,start,desc,split
-2uGOpRwYzc,2,playing french horn,train
-2xiZDEuHd8,30,pig oinking,test
-2xjeuKOWwQ,120,lawn mowing,train
-2xn5g7sfrU,44,basketball bounce,train
-3-4qmWSJXU,30,thunder,test
-30AswTAoUE,24,singing choir,train
-30UVzI7M1Y,2,dog whimpering,train
-32HIdBGdjo,78,"vehicle horn, car horn, honking",train
-32IrasDuMg,0,people sobbing,train
-376LJuHi_Y,486,playing squash,train
-37X0bRVT0g,32,fox barking,train
-37X0bRVT0g,122,fox barking,train
-39sHTky_6o,0,playing ukulele,train
-3ADZZS5luA,104,car engine starting,train
-3EwIFTR-Kk,45,tap dancing,train
-3F84DMR4fA,3,parrot talking,train
-3F84DMR4fA,40,parrot talking,train
-3G6bE5PqIQ,2,playing cymbal,train
-3G6bE5PqIQ,30,playing cymbal,train
-3GsMfOpuRM,145,tapping guitar,train
-3M-k4nIYIM,30,car passing by,train
-3Ptg4uALKc,230,playing tabla,train
-3Ptg4uALKc,284,playing tabla,train
-3WPsuawZDE,345,playing electronic organ,train
-3WQytGKbrA,28,playing didgeridoo,train
-3ZJD-ApzXE,6,playing bassoon,train
-3hbLaC4bSs,2,people marching,train
-3hbLaC4bSs,13,people marching,train
-3ihfHTdJSI,110,chicken crowing,train
-3inDTr5RV0,619,lathe spinning,train
-3inDTr5RV0,631,lathe spinning,train
-3kt0GobDIM,70,playing accordion,train
-3l98ZbqecQ,299,playing tympani,train
-3mXuQ3qGdo,35,sheep bleating,train
-3mXuQ3qGdo,45,sheep bleating,train
-3sX4pIZa8c,1,canary calling,train
-3sX4pIZa8c,22,canary calling,train
-3sxPjf6E6k,30,playing trombone,train
-3tQW7Zhl9U,380,helicopter,train
-3usm60vq2g,321,hammering nails,train
-3uypzLYfSw,0,people screaming,train
-3xhrOw45ss,60,playing banjo,train
-3yVqL0DWQE,30,car passing by,train
-4-rtJzyJ1g,30,"male speech, man speaking",train
-40DA8RPuq0,34,train horning,train
-4B9Xf1b1yI,23,sheep bleating,train
-4CtdVLzUHM,20,playing double bass,train
-4DpBHTuc88,75,playing glockenspiel,test
-4EIZrmnLcE,53,people booing,train
-4ELUORuKtk,30,playing acoustic guitar,train
-4ItJ9yTz_c,42,train horning,train
-4QuzXilXac,30,playing hammond organ,train
-4ST8ru_k9Y,30,"pigeon, dove cooing",train
-4T9CjIfm_I,96,striking pool,train
-4TJHvjsYrE,30,playing flute,train
-4TM7m_07dg,350,planing timber,train
-4XHW-rTETw,0,playing accordion,train
-4XHW-rTETw,29,playing accordion,train
-4Yeb7_b-vw,33,beat boxing,train
-4_Ykqfn8Fw,30,playing harpsichord,train
-4ano7snqlI,30,"motorboat, speedboat acceleration",train
-4c9EgbBqro,30,"female speech, woman speaking",train
-4cdRRPG3Wg,76,playing tabla,train
-4cdRRPG3Wg,115,playing tabla,train
-4eXuXHZw_A,30,playing snare drum,train
-4k2KQXBucU,200,"race car, auto racing",train
-4n6RJHEu7w,387,playing hockey,train
-4pmCrSdMhg,30,horse clip-clop,test
-4u6ax5P-o8,4,wood thrush calling,train
-4vYvHuiHH8,30,car passing by,train
-4xWt2NNeOI,30,playing bass guitar,train
-4yCSY_5Zns,30,"playing marimba, xylophone",train
-5-8Vij75C8,46,baby laughter,train
-516tRoxniU,20,playing cello,train
-532yuAVspQ,69,playing tambourine,train
-5A6hBRssh8,52,playing bagpipes,train
-5G8-A2YtEU,11,"engine accelerating, revving, vroom",train
-5INZ_Tk8RM,30,male singing,train
-5MpAJy294E,30,turkey gobbling,train
-5MpRM5DfFI,160,playing flute,train
-5NxigJHFJg,84,playing harp,train
-5THbQ6zQM4,218,playing accordion,train
-5Tu_wiNnmg,32,playing bagpipes,train
-5VoaeTlokE,107,yodelling,train
-5YpkfJk6vI,30,playing electronic organ,train
-5adN5KiLog,0,machine gun shooting,train
-5ddA2hIm8M,30,car passing by,train
-5o4C4ZtHSU,30,police car (siren),train
-5ogM5Bd-XM,150,playing bass drum,train
-5ogM5Bd-XM,280,playing bass drum,train
-5pOv7eCOLs,46,police radio chatter,train
-5uboOrnckc,22,people giggling,train
-5xBp5NL0o4,30,"motorboat, speedboat acceleration",train
-60vY5Xw1qE,30,"motorboat, speedboat acceleration",train
-615mGonUqU,232,baltimore oriole calling,test
-65qg6AidDE,50,skiing,train
-66S6r4EjC4,40,playing cello,train
-67jCOryxzQ,4,car engine knocking,train
-6A2L1U9b5Y,54,driving motorcycle,train
-6AOy8GAMpM,60,typing on computer keyboard,train
-6BlMu-Mxvo,30,playing accordion,train
-6E6POeGfzg,240,"electric shaver, electric razor shaving",train
-6EMRv8oxXo,30,"playing marimba, xylophone",train
-6FZ8x4RJic,375,playing volleyball,train
-6GQmaIFTOM,30,playing trombone,train
-6Hc63ijGxM,386,playing double bass,train
-6HhoAY9Fbs,30,playing acoustic guitar,train
-6ODGR0PdYA,32,singing bowl,train
-6R3wpks5Jg,0,playing ukulele,train
-6VFTlZsft4,30,"male speech, man speaking",train
-6aZ9yBmtkU,62,playing bassoon,train
-6gTdk2aofg,16,driving snowmobile,train
-6gTdk2aofg,55,driving snowmobile,train
-6gxzS2ydY4,100,fireworks banging,train
-6lkiUAf_cQ,30,playing banjo,train
-6nQx26blSU,30,female singing,train
-6s5GyKQW8Q,29,playing glockenspiel,train
-6t2iefJug8,10,playing drum kit,train
-6tJgFlNo-c,30,playing acoustic guitar,train
-6v-lqRcpgE,30,male singing,train
-6xs8HnLo8s,32,plastic bottle crushing,train
-70tewjjQKc,30,playing accordion,train
-78SgLvt7_k,30,sheep bleating,train
-79qo5MUYBk,207,train whistling,test
-7AATv3puFA,14,playing cornet,train
-7AATv3puFA,25,playing cornet,train
-7H9GQiLHXQ,30,singing choir,train
-7HJY3Jo3G4,3,dog whimpering,train
-7IhwezUrUA,590,eating with cutlery,test
-7MQDKG-T9Q,326,dog growling,train
-7TdbBZOFC0,48,playing synthesizer,train
-7UkpjKKSbk,64,playing harp,train
-7Y8Cmjdvuk,20,dog bow-wow,train
-7YESdyyHVw,10,"cattle, bovinae cowbell",test
-7fmTe_u85c,1,"cattle, bovinae cowbell",train
-7fmTe_u85c,15,"cattle, bovinae cowbell",train
-7hQNEhU6Vk,30,playing snare drum,train
-7lb449Bwks,30,playing bass guitar,train
-7tYmeOmsRg,58,people eating crisps,test
-7tYmeOmsRg,180,people eating crisps,test
-7uVGGJ9ZkM,46,wood thrush calling,train
-7uZTWVNI4s,30,baby crying,train
-84CyEpynsY,10,dog barking,train
-87d06u4Yzk,19,male singing,train
-8FYMNYbXiE,20,goose honking,train
-8JBa54NFpU,30,playing acoustic guitar,train
-8KFpJHyspw,608,squishing water,train
-8LHHoJnR3c,37,civil defense siren,train
-8MQkHxpSaE,40,lighting firecrackers,train
-8MQkHxpSaE,52,lighting firecrackers,train
-8PM2wFiqt4,0,smoke detector beeping,train
-8Qb_SMa7LA,0,ocean burbling,train
-8RduCMIJG0,212,playing tabla,train
-8S9TKWIOSc,30,chainsawing trees,train
-8TJ8Bve8Uk,30,"playing marimba, xylophone",train
-8Zeh__mQWY,127,playing ukulele,train
-8bJL3kpPGI,30,female singing,train
-8jIrsdD8CM,2,playing djembe,train
-8jIrsdD8CM,94,playing djembe,train
-8jceoAMDoI,186,playing harpsichord,train
-8ju6V8B5Oc,40,toilet flushing,train
-8lGZavlNro,30,"motorboat, speedboat acceleration",train
-8lzdlqUtJQ,61,"alligators, crocodiles hissing",test
-8vFBAkXmeg,87,cuckoo bird calling,train
-93ZUEWxPkc,109,"playing steel guitar, slide guitar",train
-93ZUEWxPkc,164,"playing steel guitar, slide guitar",train
-9BmQiOdBjo,62,people cheering,train
-9DP8x__enM,30,dog bow-wow,train
-9EKPvQSH9U,43,driving snowmobile,train
-9EKPvQSH9U,249,driving snowmobile,train
-9Err78YIjQ,30,playing trombone,train
-9GRE84DX2M,30,playing acoustic guitar,train
-9NoQ1XeqS8,30,printer printing,train
-9OlCOVm5-o,30,singing bowl,train
-9Y076KDt2w,80,male singing,train
-9fYYPa8glI,374,people cheering,train
-9gHIl4C2XM,39,woodpecker pecking tree,train
-9gHIl4C2XM,187,woodpecker pecking tree,train
-9hqBiuwp2Y,30,playing acoustic guitar,train
-9peZWsQHow,6,mynah bird singing,train
-9peZWsQHow,37,mynah bird singing,train
-9qHOY4PsGM,103,playing volleyball,train
-9ummbDsgFM,30,chainsawing trees,train
-9vW9OhXx4Y,50,playing ukulele,train
-9wRxzJ5j_Y,0,splashing water,train
-9ywcjOQsFc,45,airplane flyby,train
-9ywcjOQsFc,58,airplane flyby,train
-A-xb-P-WxQ,30,"playing marimba, xylophone",train
-A3b9tZs-eE,30,playing flute,train
-A3cOSeUcLM,30,chicken crowing,train
-A3g8R9_YpM,21,mynah bird singing,train
-A3g8R9_YpM,35,mynah bird singing,train
-A6e83tl4Y8,31,playing volleyball,train
-A7n0rFvnRs,300,playing badminton,train
-AEIKTejHRo,308,playing tabla,train
-AEIKTejHRo,319,playing tabla,train
-AFGfu5zOzQ,30,skateboarding,train
-AGV-nP_lvY,69,tap dancing,train
-AIR0POFOCk,70,playing saxophone,train
-ALO3MhBCaI,406,chopping food,train
-AMP7Vj1ScE,59,playing volleyball,train
-ANEfdF_vzE,122,"cattle, bovinae cowbell",train
-ANEfdF_vzE,133,"cattle, bovinae cowbell",train
-AS4M6Nnaow,25,dog growling,train
-AWQf-Q8j2k,30,"female speech, woman speaking",train
-AWooU1PDiM,70,dog barking,train
-AYTdHxF3MQ,25,wind noise,train
-AfJKhf6P3U,30,horse clip-clop,train
-AjDkWtRFSU,0,playing harp,train
-AjDkWtRFSU,45,playing harp,train
-Akoz2Fqb4I,60,people marching,train
-AkrCGMWDxg,240,train horning,train
-Az-P2YqdRU,30,skidding,train
-B-2EtfKVlo,230,playing saxophone,train
-B-HOrOK4PQ,50,lawn mowing,train
-B6CSHRHZSA,70,"pigeon, dove cooing",train
-B8a7An5Rqs,30,male singing,train
-BDSrWLpZrE,50,printer printing,train
-BFcExBQfAk,30,playing acoustic guitar,train
-BFmitXDvaU,150,using sewing machines,train
-BIuMd0jCjU,10,helicopter,train
-BJNMHMZDcU,50,dog bow-wow,train
-BOgoqt2eZ0,211,playing sitar,train
-BOgoqt2eZ0,233,playing sitar,train
-BPcjlI7-R4,30,thunder,train
-BQL9LLQEqw,37,playing cornet,train
-BRqLHIGZww,30,male singing,train
-BRvHgBiB2I,136,playing mandolin,train
-BRvHgBiB2I,147,playing mandolin,train
-BTusKdsjjA,0,playing flute,train
-BUtBQDWd-o,183,playing trombone,train
-BUtBQDWd-o,194,playing trombone,train
-BXq35CKegE,70,"playing marimba, xylophone",train
-BZ6I5i_kW4,0,toilet flushing,train
-BaMFLQMRWg,90,stream burbling,train
-BaY2ollfyo,30,playing flute,train
-BdSCcmJKJk,617,lip smacking,train
-BepfxVqDRA,2,playing volleyball,train
-BnVmMjp0d4,30,playing electric guitar,train
-BpMHfa2Saw,30,"playing violin, fiddle",train
-BrnUAUA37o,30,chainsawing trees,train
-BrurdlJW1M,0,people eating crisps,train
-Bsui7DT3Us,78,"alligators, crocodiles hissing",train
-BtGg42-ZVE,51,roller coaster running,train
-By_0iIghuE,0,cat caterwauling,train
-ByoSbgzr4M,0,tapping guitar,test
-C-EGagVRfc,11,fire truck siren,train
-C66I4YOr4o,270,playing piano,train
-C6cbmMaENE,319,striking pool,train
-C8RKRnU2pg,29,airplane flyby,train
-C96gWRdNVM,30,playing acoustic guitar,train
-CAWmG77Z7w,523,people clapping,train
-CD6NK7xJB4,30,"female speech, woman speaking",train
-CI9mVOAK-k,30,playing snare drum,train
-CPm5WUgPxs,88,fire crackling,train
-CS4JTdytGw,30,pig oinking,train
-CS4JTdytGw,55,pig oinking,train
-CUgrFw8TEI,45,dog whimpering,train
-CUgrFw8TEI,55,dog whimpering,train
-CZ1LIc8aos,20,car passing by,test
-CekKuZXKJ8,0,cap gun shooting,train
-CekKuZXKJ8,14,cap gun shooting,train
-CfhAXuBCJQ,118,basketball bounce,train
-Cta7QVe1hk,30,female singing,train
-CvYwNYacwE,35,playing cornet,train
-CxXxHczP_c,10,playing trombone,train
-D0f4exnx9M,5,playing harmonica,train
-D19yRsucZ0,30,child singing,train
-D2SxTNIZic,132,playing electronic organ,train
-D2vxENQgkY,127,playing bass guitar,train
-D3xojFH4Us,10,chicken clucking,train
-D4bZN69nd0,356,playing mandolin,train
-D58XABgrM8,0,playing tabla,train
-D58XABgrM8,58,playing tabla,train
-D64b_8YJK4,46,barn swallow calling,test
-D9C44rqExM,150,orchestra,train
-D9HD2eetiQ,12,playing harpsichord,train
-D9HD2eetiQ,37,playing harpsichord,train
-DHGwygUsQc,30,skateboarding,train
-DJBhehSljQ,52,"playing steel guitar, slide guitar",train
-DJBhehSljQ,84,"playing steel guitar, slide guitar",train
-DMGengzmu0,1,crow cawing,train
-DR4c2yfNLY,20,chicken clucking,train
-DSLoPRcbEY,41,playing badminton,train
-DSNfC2EJhU,20,toilet flushing,train
-DVM0BK_h5A,30,chainsawing trees,train
-DXq8b_yfTQ,240,wind noise,train
-D_UlvQUT9s,53,beat boxing,train
-DaIYDkiR_Y,0,dog growling,train
-Dqi6nNtnWI,60,playing accordion,train
-DrBMUxE9eM,58,people screaming,train
-DrBMUxE9eM,72,people screaming,train
-DsLaGntv9s,18,stream burbling,train
-E-5957s3RU,30,playing electric guitar,train
-E1Iu6YRIkc,0,playing saxophone,train
-E1zyCQE3es,30,playing acoustic guitar,train
-E35OMfL4A4,1,mouse squeaking,train
-E3eNjI4vEc,5,mynah bird singing,train
-E8XmCE3MWQ,30,"male speech, man speaking",train
-E9poYAgUz4,30,female singing,train
-EOHzvnHYPE,200,playing trumpet,train
-EXGVV11btY,340,church bell ringing,train
-E_R5RJEv74,91,missile launch,train
-EexFpwt15A,18,playing timbales,train
-EexFpwt15A,29,playing timbales,train
-EgE1mrIuIc,50,"vehicle horn, car horn, honking",train
-EjUpvGSXcw,30,playing trombone,train
-Etzr_L-R1E,30,lawn mowing,train
-Ezk-jIm6kM,170,playing castanets,test
-F6GfPwjLWo,30,toilet flushing,train
-F6whO1LVKc,210,playing bagpipes,train
-FAVc8Nc_yg,6,cattle mooing,train
-FFeLquyrFQ,0,basketball bounce,train
-FITRqeXl9Q,454,cat purring,train
-FJSJkUdWSw,5,playing squash,train
-FJne-ZMSAA,194,people coughing,train
-FJne-ZMSAA,495,people coughing,train
-FRfHI_8irw,2,playing shofar,train
-FXgPsF8hqk,120,ocean burbling,train
-FYbupIu_5A,18,people sneezing,train
-F_2cDPs7-4,1,playing double bass,train
-FcB1UrcL0E,30,playing acoustic guitar,train
-Fec3Hn9D5I,13,church bell ringing,train
-Fec3Hn9D5I,42,church bell ringing,train
-FfFD4bbCEI,2,playing steelpan,train
-FfFD4bbCEI,18,playing steelpan,train
-FgIPY7IO8k,15,chicken crowing,train
-FlSh-N35M0,30,playing piano,train
-FtiJ38WHYM,50,stream burbling,train
-G08iN_t2QQ,30,playing acoustic guitar,train
-G1KPf8-9l0,30,"playing violin, fiddle",train
-G4PtM_9GWY,30,playing flute,train
-G5JuwEUxjM,30,playing accordion,train
-GAtUjgJpEA,716,playing bass drum,train
-GFrQ3vMJ5M,97,wood thrush calling,train
-GHPfOXLP2o,90,"race car, auto racing",train
-GOaBCyC5Js,87,playing cornet,test
-GQcBKUU3s8,30,playing trumpet,train
-GRBoX1Zwro,155,playing didgeridoo,train
-GTJNoTd14k,30,car passing by,train
-G_2v0L4U_s,78,playing tennis,train
-G_2v0L4U_s,186,playing tennis,train
-Gbohom8C4Q,30,train horning,train
-GfpGu8BJcg,30,playing vibraphone,train
-GlZ819IHfE,12,chopping food,train
-GlZ819IHfE,71,chopping food,train
-GpsuYcmBj0,154,playing tuning fork,train
-Gt_QuXr_NQ,30,playing electric guitar,train
-GxNDcOTjOg,102,basketball bounce,train
-GxNDcOTjOg,146,basketball bounce,train
-GymV9gkAHE,33,train wheels squealing,train
-GzxgZnNMmY,30,male singing,train
-H1_pKntTx4,30,helicopter,train
-H1c5S3rZSQ,48,"cattle, bovinae cowbell",train
-H1c5S3rZSQ,61,"cattle, bovinae cowbell",train
-H2Vh1rqO2A,18,people sneezing,train
-H2mnlftAYI,104,playing mandolin,train
-H2mnlftAYI,262,playing mandolin,train
-H4tPZGMCZo,30,people running,train
-H53wmeBhwE,20,people belly laughing,train
-H8NodX280A,310,playing synthesizer,train
-H9TUxVr-e8,102,"playing steel guitar, slide guitar",train
-HMEhGV38GM,216,playing congas,test
-HMmNXcZe1I,53,"bird chirping, tweeting",train
-HNovkiEoMs,30,playing harp,train
-HXwnBVE19E,2,horse clip-clop,train
-HZXcZIwlkQ,134,playing cymbal,train
-H_3oEkKe0M,50,driving motorcycle,train
-Ha8-q4iApM,166,sharpen knife,train
-Ha8-q4iApM,364,sharpen knife,train
-HcGf4q6eNw,0,playing tabla,train
-HcGf4q6eNw,63,playing tabla,train
-HcuAy_c7as,84,singing bowl,train
-HcuAy_c7as,228,singing bowl,train
-Hew7dKVW_w,343,sharpen knife,train
-HhLQTm8yTg,109,playing tabla,train
-HhLQTm8yTg,287,playing tabla,train
-HjmhPJh54k,15,toilet flushing,train
-HmYuZCgM2s,30,car engine starting,train
-HpCjiutVuE,30,playing flute,train
-HtBJbsbeHo,450,"playing marimba, xylophone",train
-Hti5s8LP9A,30,playing acoustic guitar,train
-HvdQSlBI8U,30,playing electric guitar,train
-Hw2mdbqXZc,51,playing bongo,train
-Hw2mdbqXZc,73,playing bongo,train
-HyUH30KfyE,20,people belly laughing,train
-I2aGtZRT9M,17,playing tennis,train
-I2wwE7WFOU,24,cat meowing,train
-I5q-hbISwA,160,playing theremin,train
-I5q-hbISwA,183,playing theremin,train
-I9D8V2YNds,424,playing clarinet,train
-IBXTktoom8,30,"bee, wasp, etc. buzzing",train
-IBtBeR6B00,0,"race car, auto racing",train
-IKPFgiRHBI,4,firing muskets,train
-IKPFgiRHBI,20,firing muskets,train
-IKnEo70_ZE,103,playing harmonica,train
-IKnEo70_ZE,113,playing harmonica,train
-INNrk4mik4,31,frog croaking,train
-IQjWad7L4w,7,"ice cream truck, ice cream van",train
-IVVNTOnTyQ,490,playing trombone,train
-IV_bcVQVSw,30,playing flute,train
-IbJX_oadgs,330,playing electric guitar,train
-Icq8IWbJLE,20,playing sitar,train
-Icq8IWbJLE,115,playing sitar,train
-IgQ4BYBLhc,0,fireworks banging,train
-IgzS3fIrBE,30,playing electric guitar,train
-IilQt9YNzw,613,scuba diving,train
-Ij4uiLRp94,20,"race car, auto racing",train
-IlFdaVdEyU,1,playing harmonica,train
-IqipY2Re_w,240,singing choir,train
-IsCA5lBN74,30,car passing by,train
-IsiJ6DuBCM,44,playing volleyball,train
-Iu7PYlNUyI,119,typing on typewriter,train
-Iu7PYlNUyI,136,typing on typewriter,train
-JBRB2gGWDA,4,scuba diving,train
-JHNl1BWxro,30,playing hammond organ,train
-JJmkQYZA-4,20,chicken crowing,test
-JK1_tIi0tI,133,playing double bass,train
-JK1_tIi0tI,297,playing double bass,train
-JKEBnT-rhQ,30,"engine accelerating, revving, vroom",train
-JMHRrms_Cg,2,dog howling,train
-JNQvOgTaG0,120,sharpen knife,train
-JPh1zMSYLo,30,playing trombone,train
-JQLLT8ouTs,30,female singing,train
-JTypcgiiDw,106,playing french horn,train
-JTypcgiiDw,132,playing french horn,train
-JUBdOr8Hes,30,playing accordion,test
-JUhUI_KvUI,26,gibbon howling,test
-JVYFW4VyKc,19,"cattle, bovinae cowbell",train
-JZTO8CDIc4,114,cat purring,train
-JZTO8CDIc4,834,cat purring,train
-JZmJjnR1oc,22,volcano explosion,train
-JcdVgIsCyg,58,people giggling,train
-JcdVgIsCyg,70,people giggling,train
-Jcl3FrHFCc,119,airplane flyby,train
-Jcl3FrHFCc,151,airplane flyby,train
-JdUSVmQq88,30,female singing,train
-Jj_VT1dTDI,136,car engine starting,train
-Jju2T8rxNE,558,striking pool,train
-Jo_AtiSodU,53,plastic bottle crushing,train
-Jo_AtiSodU,83,plastic bottle crushing,train
-JobP06hFwA,53,playing glockenspiel,train
-JzMCtGCh4o,0,frog croaking,test
-K-ccLMFE5M,245,people marching,test
-K-ccLMFE5M,259,people marching,test
-K232jBK8VQ,30,car passing by,train
-K28XZWiDeo,30,"rowboat, canoe, kayak rowing",train
-K4fzmdnf9s,44,people burping,train
-KBGMnuFo_E,49,playing harpsichord,train
-KBGMnuFo_E,96,playing harpsichord,train
-KBH8YmHR-0,50,snake rattling,test
-KCeHYx5uRg,30,"motorboat, speedboat acceleration",train
-KI1_0FVUSI,30,male singing,train
-KJbMzEiYFA,80,cattle mooing,train
-KKQWNN18dE,260,fireworks banging,train
-KLags1kE9o,0,"donkey, ass braying",train
-KLags1kE9o,11,"donkey, ass braying",train
-KMUiLryxhk,30,male singing,train
-KOgOEvhrbw,154,machine gun shooting,train
-KOgOEvhrbw,442,machine gun shooting,train
-KPh8hDLSvc,9,cheetah chirrup,train
-KPh8hDLSvc,23,cheetah chirrup,train
-KTabIWnPSg,21,rapping,test
-KWoQzfEzok,90,chainsawing trees,train
-Ka7IP4dd_k,279,playing trombone,train
-Kc9P729mqM,30,female singing,train
-KdBaGgzf4w,27,airplane flyby,train
-KeQVqJESLc,30,stream burbling,train
-Kh9u-I-lXA,2,"vehicle horn, car horn, honking",train
-KhcG7ajFSw,809,strike lighter,train
-KifOY3Xxd8,6,crow cawing,train
-KrDQXnlXRw,10,toilet flushing,train
-KvL24FAfaA,30,playing electric guitar,train
-L0DKsfBHFk,0,people babbling,train
-LAs_jk-2O8,29,playing bass drum,train
-LBHWlaxWHc,30,fireworks banging,train
-LBUsQKZC78,10,"playing marimba, xylophone",train
-LCgWn1IOK4,300,playing clarinet,train
-LDgcP_DZP0,30,male singing,train
-LITfve3SnU,20,lions growling,train
-LJ7zQtPCd4,24,"ice cream truck, ice cream van",train
-LLWKg5fHJs,30,playing cymbal,train
-LMCI_EBJvc,409,playing harmonica,train
-LNvqMp0HrA,198,metronome,train
-LP9auWyYe8,30,"railroad car, train wagon",train
-LQuCzisPK0,40,playing banjo,train
-LR6jZzVFHs,50,typing on computer keyboard,train
-LWTTrdTi9A,30,"female speech, woman speaking",train
-L_--bn4bys,8,scuba diving,train
-L_--bn4bys,45,scuba diving,train
-L_RH-nw11I,14,vacuum cleaner cleaning floors,train
-L_RH-nw11I,25,vacuum cleaner cleaning floors,train
-L_t4Efb6oo,30,"female speech, woman speaking",train
-LaXovjQvDY,8,volcano explosion,train
-LbB4qrpeFY,115,ripping paper,train
-Lei1usDQio,20,"bird chirping, tweeting",train
-Lh900sOUwI,30,playing electric guitar,train
-LhdkjK8p1c,30,playing saxophone,train
-LiUMQU0Plw,30,playing electric guitar,train
-LjKQZDyrCw,90,playing bass guitar,train
-LmSy9cDMXY,30,"pigeon, dove cooing",train
